"","x"
"1084","PLBD2"
"1085","SMIM13"
"1086","MAP1S"
"1087","KCNK5"
"1088","DLC1"
"1089","WDR90"
"1090","GDF15"
"1091","GDF15"
"1092","EHBP1L1"
"1093","EHBP1L1"
"1094","RAB11FIP4"
"1095","RPS26"
"1096","PCNX3"
"1097","PCNX3"
"1098","TET1"
"1099","ILRUN-AS1"
"1100","SMARCC2"
"1101","SMARCC2"
"1102","FADD"
"1103","UBB"
"1104","SFXN4"
"1105","PRDX3"
"1106","MIR4681"
"1107","SAMD4B"
"1108","SAMD4B"
"1109","C2"
"1110","GPR108"
"1111","NUDCD3"
"1112","ANKRD52"
"1113","CS"
"1114","KDM4C"
"1115","CEP43"
"1116","NKIRAS2"
"1117","NDUFS6"
"1118","DAXX"
"1119","MMP15"
"1120","RAI1"
"1121","TRAF4"
"1122","TENT4A"
"1123","TENT4A"
"1124","COPG1"
"1125","CLCN7"
"1126","EPDR1"
"1127","CEMIP2"
"1128","CEMIP2"
"1129","NOC2L"
"1130","RBM42"
"1131","FAHD1"
"1132","AGRN"
"1133","AGRN"
"1134","MRPL37"
"1135","MED16"
"1136","TCAIM"
"1137","UBE2Q1"
"1138","LINC02604"
"1139","ZMAT2"
"1140","INPPL1"
"1141","INPPL1"
"1142","RPS27A"
"1143","RABGGTB"
"1144","WNK1"
"1145","LINC01013"
"1146","ZFHX3-AS1"
"1147","TET3"
"1148","FBXO31"
"1149","ATP2A2"
"1150",""
"1151","GEMIN5"
"1152","FEM1A"
"1153","CDK2"
"1154","NES"
"1155","EPOP"
"1156","MLLT6"
"1157","PEAK3"
"1158","PIP4K2B"
"1159","PLRG1"
"1160","PRRC2A"
"1161","PRRC2A"
"1162","DUSP16"
"1163","DUSP16"
"1164","FGA"
"1165","ERP29"
"1166","H2AX"
"1167","UBE2K"
"1168","PDS5A"
"1169","RTCA"
"1170","VEGFA"
"1171","RPS19"
"1172","SIK2"
"1173","CAPN15"
"1174","ANAPC7"
"1175","BCL2L12"
"1176","RPIA"
"1177","SNRNP27"
"1178","KIF1C"
"1179","KIF1C"
"1180","LRCH4"
"1181","CHST13"
"1182","AP2A2"
"1183","ATF7"
"1184","ABT1"
"1185","FOXRED1"
"1186","NUFIP2"
"1187","CHST10"
